Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
1,Gopalganj,birshordi,dhaka_barisal_highway,Sunday,April,1,23,Night,26,8,34,1,23.253761,90.018641,bus,2018
2,Dhaka,savar,dhaka_aricha_highway,Tuesday,April,3,22,Night,0,2,2,3,23.851718,90.258876,truck_cycle,2018
3,Dhaka,savar,dhaka_aricha_highway,Tuesday,April,3,22,Night,0,2,2,1,23.850717,90.258543,truck,2018
4,Dhaka,savar,nobinagar_chandra_highway,Tuesday,April,3,21,Night,0,1,1,1,24.013214,90.246366,truck,2018
5,Satkhira,kaliganj,kaliganj_symganj_road,Tuesday,April,3,20,Night,2,2,4,2,22.482941,89.050455,cycle,2018
6,Dinajpur,kaharol,,Wednesday,April,4,6,Morning,0,2,2,2,25.759794,88.674017,bus_cycle,2018
7,Dinajpur,palashbari,dinajpur_gobindaganj_road,Wednesday,April,4,7,Morning,0,1,1,2,25.608346,88.680677,cycle,2018
8,Chittagong,raozan,chittagang_rangamati_highway,Wednesday,April,4,6,Morning,0,2,2,1,22.535365,91.92278,bus,2018
9,Mymensingh,,,Wednesday,April,4,9,Morning,1,3,4,2,24.724183,90.409499,others,2018
10,Khulna,khulna city,BIDC road,Tuesday,April,3,22,Night,0,1,1,1,22.852307,89.5465,bus,2018
11,Dinajpur,,,Thursday,April,5,11,Morning,1,1,2,1,25.607847,88.692007,truck,2018
12,Mymensingh,ishwarganj,mymensing_kishorganj_road,Thursday,April,5,12,Morning,0,1,1,1,24.735996,90.502541,bus,2018
13,Chittagong,wasaintersection,,Thursday,April,5,10,Morning,0,1,1,1,22.351378,91.822186,car,2018
14,Chittagong,newmarket intersection,,Thursday,April,5,8,Morning,0,1,1,1,22.333977,91.832429,car,2018
15,Jamalpur,,jamalpur_dewanganj_road,Thursday,April,5,9,Morning,0,1,1,2,25.118269,25.118269,truck_three_wheeler,2018
16,Brahmanbaria,raipura,charabagh,Friday,April,6,16,Afternoon,0,4,4,2,23.994232,90.871032,bus_cycle,2018
17,Brahmanbaria,madgabdi,,Friday,April,6,10,Morning,0,3,3,2,24.091213,91.288982,bus_car,2018
18,Brahmanbaria,baghata,,Friday,April,6,20,Night,0,2,2,2,23.889562,90.689361,bus_cycle,2018
19,Chittagong,,,Friday,April,6,21,Night,3,1,4,2,22.981288,91.416643,truck_three_wheeler,2018
20,Jhenaidah,mahaMayabusstand,,Friday,April,6,22,Night,3,1,4,1,23.553982,89.1792,three_wheeler,2018
21,Dinajpur,birampur,,Friday,April,6,20,Night,0,1,1,2,25.37678,88.991788,cycle_three_wheeler,2018
22,Sherpur,baniapara,kamaria_nakla_road,Friday,April,6,20,Night,0,2,2,1,24.980409,90.132472,cycle,2018
23,Gopalganj,,dhaka_khulna_highway,Sunday,April,8,23,Night,15,2,17,1,22.99975,89.837224,bus,2018
24,Lalmonirhat,patgram,lalmonirhat_burimari_highway,Sunday,April,8,23,Night,0,1,1,1,26.360892,88.995731,truck,2018
25,Jamalpur,melandah,,Monday,April,9,9,Morning,2,1,3,2,24.98214,89.834388,three_wheeler_rickshaw,2018
26,Madaripur,matunbusstand,,Monday,April,9,11,Morning,1,0,1,1,23.167218,90.197697,bus,2018
27,Sylhet,jaintiapur,,Monday,April,9,10,Morning,0,1,1,1,25.13302,92.121608,bus,2018
28,Dhaka,farmgate,,Wednesday,April,11,7,Morning,1,0,1,1,23.757951,90.390058,bus,2018
29,Dhaka,banglamotor,,Tuesday,April,3,8,Morning,1,0,1,2,23.746128,90.394564,bus,2018
30,Chittagong,mirsarai,,Friday,April,13,23,Night,3,2,5,2,22.76525,91.578547,truck_three_wheeler,2018
31,Chittagong,sitakunda,chittagang_dhaka_highway,Friday,April,13,22,Night,4,1,5,2,22.38372,91.763524,bus_van,2018
32,Gopalganj,gatpara,,Friday,April,13,23,Night,0,1,1,1,23.016131,89.835132,truck,2018
33,Rangpur,mithapukur,,Monday,April,16,21,Night,0,2,2,1,25.662021,89.273184,car,2018
34,Mymensingh,,dhaka_mymensingh_highway,Monday,April,16,20,Night,0,1,1,1,24.610345,90.39628,truck,2018
35,Mymensingh,nandail,nandail_tarial_road,Monday,April,16,21,Night,3,1,4,2,24.576999,90.741786,three_wheeler_rickshaw,2018
36,ChapaiNawabganj,kalingar,,Monday,April,16,21,Night,0,1,1,2,24.577864,88.188692,three_wheeler_cycle,2018
37,Natore,,natore_pabna_highway,Monday,April,16,9,Morning,1,1,2,2,24.288914,89.073363,truck_cycle,2018
38,Brahmanbaria,akhura,comilla_sylhet_highway,Monday,April,16,12,Morning,0,1,1,1,23.878871,91.13769,truck,2018
39,Dinajpur,karimullapur,,Monday,April,16,13,Afternoon,0,1,1,2,25.623214,88.643973,truck_cycle,2018
40,Manikganj,,dhaka_aricha_highway,Tuesday,April,17,15,Afternoon,0,1,1,2,23.871582,90.003568,bus_cycle,2018
41,Chittagong,,dhaka_chittagong_highway,Tuesday,April,17,16,Afternoon,0,1,1,1,22.3849,91.762627,car,2018
42,Chittagong,mirsarai,,Tuesday,April,17,5,Morning,0,1,1,1,22.771282,91.57423,car,2018
43,Munshiganj,,dhaka_chittagong_highway,Tuesday,April,17,22,Night,0,1,1,1,23.5866,90.634118,others,2018
44,Dinajpur,phulbari,,Monday,April,16,18,Evening,0,1,1,1,25.498629,88.965701,truck,2018
45,Gopalganj,,dhaka-khulna_highway,Tuesday,April,17,19,Evening,1,0,1,2,22.99915,89.836958,bus_truck,2018
46,Khulna,kathaltola,bagerhat_khulna_highway,Wednesday,April,18,18,Evening,1,2,3,2,22.95326,89.113059,bus_cycle,2018
47,Pirojpur,mathbaria,,Wednesday,April,18,19,Evening,0,1,1,1,22.288629,89.959128,cycle,2018
48,Chittagong,sitakunda,dhaka_chittagong_highway,Wednesday,April,18,18,Evening,0,1,1,1,22.610094,91.663448,truck,2018
49,Dhaka,banani,airport_road,Friday,April,20,21,Night,1,0,1,1,23.787378,90.399838,bus,2018
50,Gaibandha,gobindaganj,rangpur_bogra_highway,Sunday,April,22,6,Morning,15,4,19,2,25.178375,89.388339,bus_truck,2018
51,Mymensingh,bhaluka,dhaka_mymensingh_highway,Sunday,April,22,6,Morning,2,3,5,2,24.379534,90.377236,car_van,2018
52,Rajshahi,,chapaChapaiNawabganj_dhaka_highway,Sunday,April,22,22,Night,0,1,1,2,24.581352,88.289212,truck_cycle,2018
53,Kishoreganj,,bhairab_kisharganj_road,Tuesday,April,24,23,Night,1,4,5,2,24.285684,90.776298,truck_rickshaw,2018
54,Mymensingh,phulpur,mymensing_sherpur_road,Tuesday,April,24,24,Night,7,0,7,2,24.934167,90.371745,bus_three_wheeler,2018
55,Madaripur,shivehar,,Tuesday,April,24,23,Night,2,1,3,2,23.167161,90.193631,bus_cycle,2018
56,Jhenaidah,raghunatpur,jhenidah_jessore_road,Tuesday,April,24,24,Night,0,1,1,1,23.319155,89.147261,bus,2018
57,Jhenaidah,kaliganj,kotechanpur_kaliganj_road,Tuesday,April,24,7,Morning,15,0,15,1,23.405704,89.127708,bus,2018
58,Bogra,,dhaka_bogra_highway,Tuesday,April,24,8,Morning,0,1,1,1,24.823801,89.359137,van,2018
59,Narayanganj,araihazar,dhaka_araihazar_road,Wednesday,April,25,9,Morning,0,1,1,1,23.789483,90.654057,three_wheeler,2018
60,Faridpur,alipur,,Wednesday,April,25,11,Morning,0,1,1,1,23.612938,89.827479,cycle,2018
61,Madaripur,noyakandi,,Wednesday,April,25,11,Morning,1,1,2,1,23.188151,90.090351,truck,2018
62,Patuakhali,joutabazar,,Wednesday,April,25,16,Afternoon,10,0,10,2,22.358484,90.335238,cycle_three_wheeler,2018
63,Munshiganj,sirajdikhan,,Saturday,April,28,16,Afternoon,0,1,1,1,23.565498,90.407421,three_wheeler,2018
64,Manikganj,saturia,kurikahani,Saturday,April,28,16,Afternoon,1,1,2,1,23.862782,90.000415,three_wheeler,2018
